nr_2012,latid_noiseUL,longit_noiseUL,latid_noiseUM2,longit_noiseUM2
1,50.49215,31.39483,50.47614,31.40813
2,50.50885,31.39344,50.47178,31.52396
3,50.54139,31.46092,50.51461,31.45034
4,50.45771,31.35281,50.52903,31.43289
5,50.5092,31.46058,50.40326,31.44074
6,50.48903,31.47451,50.51181,31.4428
7,50.49498,31.38229,50.45535,31.3231
8,50.47853,31.49228,50.4868,31.53374
9,50.49407,31.3981,50.48111,31.41456
10,50.45361,31.45731,50.51506,31.43278
11,50.4532,31.46421,50.50866,31.42579
12,50.55333,31.47147,50.48421,31.42854
13,50.48509,31.46232,50.48481,31.49829
14,50.4011,31.44837,50.46354,31.49258
15,50.60038,31.44446,50.51135,31.48201
16,50.51129,31.40488,50.44419,31.5034
17,50.45189,31.46124,50.45289,31.38015
18,50.48213,31.43562,50.41301,31.37
19,50.51088,31.39942,50.43088,31.41611
20,50.47459,31.46314,50.4782,31.40528
21,50.50138,31.45928,50.50491,31.47245
22,50.43363,31.43645,50.43308,31.5532
23,50.43477,31.48407,50.41467,31.35394
24,50.41842,31.41356,50.44763,31.44627
25,50.41831,31.44295,50.4259,31.40745
26,50.47872,31.43877,50.50015,31.45516
27,50.51085,31.3667,50.4367,31.41149
28,50.38027,31.44304,50.49662,31.50947
29,50.42668,31.47355,50.46667,31.4744
30,50.47581,31.47711,50.52044,31.36497
31,50.44545,31.41603,50.49422,31.45357
32,50.48529,31.44992,50.52057,31.42937
33,50.50305,31.33317,50.51366,31.46445
34,50.43399,31.41348,50.39265,31.42342
35,50.45172,31.47155,50.4896,31.39334
36,50.4024,31.40072,50.35738,31.38767
37,50.44147,31.4749,50.56326,31.40856
38,50.45387,31.4284,50.4687,31.51486
39,50.44239,31.47683,50.44608,31.56723
40,50.52253,31.4558,50.50248,31.48648
41,50.42764,31.41716,50.48589,31.43857
42,50.50985,31.46957,50.47896,31.55807
43,50.45359,31.38203,50.5218,31.35926
44,50.45682,31.49828,50.54646,31.43953
45,50.49116,31.41018,50.41561,31.42918
46,50.52997,31.43679,50.38485,31.51781
47,50.49806,31.43608,50.4344,31.34613
48,50.44503,31.47134,50.48087,31.44929
49,50.37344,30.76297,50.44723,30.82025
50,50.43278,30.87373,50.39286,30.86954
51,50.39341,30.81099,50.49564,30.77853
52,50.37154,30.82704,50.3994,30.8281
53,50.35327,30.86569,50.37946,30.83323
54,50.37736,30.79421,50.49818,30.89032
55,50.33998,30.78166,50.39293,30.87987
56,50.34275,30.84226,50.32637,30.85589
57,50.38028,30.85764,50.37182,30.78662
58,49.7663,30.14583,49.91096,30.05548
59,49.95505,30.12942,49.93554,30.1354
60,49.81176,30.10543,49.83461,30.21242
61,49.82148,30.12614,49.83414,30.05787
62,49.86855,30.07976,49.87609,30.05257
63,49.87539,30.09923,49.80739,30.02537
64,49.78649,30.14428,49.89823,30.06735
65,49.89783,30.14877,49.85763,30.07624
66,49.89314,30.10736,49.85911,30.09818
67,49.81359,30.08016,49.76762,30.14681
68,49.7756,30.15218,49.76615,30.12227
69,49.79474,30.06164,49.84171,30.12363
70,49.78794,30.13382,49.77828,30.08776
71,49.74895,30.15119,49.83838,30.07159
72,49.73086,30.16418,49.80519,30.16206
73,49.75161,30.05916,49.82287,30.13853
74,49.79713,30.09516,49.74741,30.10785
75,49.75025,30.09536,49.80861,29.99013
76,49.79972,30.12049,49.83975,30.11255
77,49.86027,30.087,49.87674,30.20154
78,49.71146,30.07608,49.88956,30.09286
79,49.77877,30.14095,49.68502,30.14068
80,49.78492,30.10305,49.9285,30.05431
81,49.78608,30.131,49.84386,30.08385
82,50.11856,30.55295,50.11356,30.53983
83,50.13298,30.5462,50.09946,30.5451
84,50.08078,30.52561,50.1129,30.54721
85,50.15993,30.53416,50.03355,30.50062
86,50.13206,30.5526,50.15435,30.54879
87,50.11188,30.543,50.12453,30.5903
88,50.13397,30.4978,50.11208,30.55663
89,50.09751,30.52244,50.12809,30.55965
90,50.52955,31.50558,50.52904,31.40915
91,50.51068,31.49932,50.51311,31.45631
92,50.5654,31.44635,50.44202,31.38158
93,50.41809,31.45875,50.5129,31.4533
94,50.55108,31.39474,50.44274,31.43347
95,50.46075,31.49303,50.53284,31.49597
96,50.38776,31.40117,50.53933,31.41604
97,50.52629,31.44174,50.45255,31.4114
98,50.46387,31.42059,50.53936,31.41012
99,50.47953,31.46188,50.48806,31.45918
100,50.43702,31.42828,50.34954,31.46698
101,50.49067,31.39791,50.45832,31.4481
102,50.49762,31.43085,50.51234,31.54302
103,50.49719,31.44298,50.49945,31.41023
104,50.46302,31.46759,50.52618,31.39534
105,50.48915,31.49761,50.48944,31.51057
106,50.50196,31.44444,50.51915,31.46067
107,50.51295,31.44275,50.46778,31.53506
108,50.45141,31.45383,50.46045,31.3651
109,50.40832,31.42163,50.45655,31.40543
110,50.40625,31.42615,50.55683,31.4088
111,50.45103,31.43489,50.47022,31.49267
112,50.43711,31.45873,50.52618,31.43831
113,50.50296,31.48078,50.50039,31.42148
114,50.4628,31.41483,50.45811,31.4884
115,50.51083,31.53257,50.52702,31.35167
116,50.50063,31.49071,50.49689,31.53004
117,50.4934,31.46946,50.5235,31.49805
118,50.47858,31.44809,50.45155,31.43073
